second,replicas,server_p99
0,1,0.46477971500062265
6,1,0.48217291599994494
11,1,0.48217291599994494
17,1,0.48217291599994494
23,1,0.48387291300023205
28,1,0.48387291300023205
34,1,0.48387291300023205
40,1,0.5902168150001671
46,1,0.5902168150001671
51,1,0.45229839800012994
57,1,0.45229839800012994
62,1,0.45229839800012994
68,1,0.5382102510007826
74,1,0.5382102510007826
79,1,0.5382102510007826
85,1,0.4181522639997638
91,1,0.4181522639997638
96,1,0.5651894819999143
102,1,0.5651894819999143
108,1,0.5651894819999143
113,1,0.5545020260002275
119,1,0.5545020260002275
125,1,0.5545020260002275
130,2,0.522339085999738
136,2,0.522339085999738
142,2,0.41528732199967633
147,2,0.41528732199967633
153,2,0.41528732199967633
158,2,0.48903227599985255
164,2,0.48903227599985255
170,2,0.48903227599985255
175,2,0.4110076310003933
181,2,0.4110076310003933
187,2,0.43038594699974053
192,2,0.43038594699974053
198,2,0.43038594699974053
204,2,0.41088850000014643
209,2,0.41088850000014643
215,2,0.41088850000014643
220,2,0.3987690059999295
226,2,0.3987690059999295
231,2,0.3988468659996215
237,2,0.3988468659996215
243,2,0.3988468659996215
248,2,0.38956132100029206
254,2,0.38956132100029206
260,2,0.38956132100029206
265,2,0.3768628920002811
271,2,0.3768628920002811
277,2,0.4272184179995747
282,2,0.4272184179995747
288,2,0.4272184179995747
294,2,0.441676500000176
299,2,0.441676500000176
305,2,0.4584331860001839
311,2,0.4584331860001839
316,2,0.4584331860001839
322,2,0.4536662790002083
328,2,0.4536662790002083
333,2,0.4536662790002083
339,2,0.46746587800007544
345,2,0.46746587800007544
350,2,0.4367774309999731
356,2,0.4367774309999731
361,2,0.4367774309999731
367,2,0.45366344499925615
373,2,0.45366344499925615
379,2,0.45366344499925615
384,2,0.42807811600014245
390,2,0.42807811600014245
396,2,0.4044886870002301
402,2,0.4044886870002301
407,2,0.4044886870002301
413,2,0.43910835299957396
418,2,0.43910835299957396
424,2,0.43910835299957396
429,2,0.4373398439998709
435,2,0.4373398439998709
441,2,0.4367060959999435
446,2,0.4367060959999435
452,2,0.4367060959999435
458,2,0.4138194490002206
463,2,0.4138194490002206
469,2,0.4138194490002206
474,2,0.4234488139996756
480,2,0.4234488139996756
486,2,0.4420776120001392
491,3,0.4420776120001392
497,3,0.4420776120001392
503,3,0.4393236339998111
509,3,0.4393236339998111
514,3,0.4393236339998111
520,3,0.5219770999998218
526,3,0.5219770999998218
531,3,0.445408758999838
537,3,0.445408758999838
543,3,0.445408758999838
548,3,0.44333580800011985
554,3,0.44333580800011985
560,3,0.44333580800011985
565,3,0.4649325870001121
570,3,0.4649325870001121
575,3,0.4649325870001121
580,3,0.4808170649999738
585,3,0.4808170649999738
591,3,0.44874508999928364
596,3,0.44874508999928364
601,3,0.44874508999928364
606,3,0.4264212870008123
611,3,0.4264212870008123
616,3,0.4264212870008123
621,3,0.4298433259997182
627,3,0.4298433259997182
632,3,0.4298433259997182
637,3,0.42026174699967667
642,3,0.42026174699967667
647,3,0.42026174699967667
652,3,0.41430124599955886
657,3,0.41430124599955886
662,3,0.41430124599955886
668,3,0.41135592000009635
673,3,0.41135592000009635
678,3,0.41135592000009635
683,3,0.43951297199928374
688,3,0.43951297199928374
693,3,0.43951297199928374
698,3,0.41330882899965216
703,3,0.41330882899965216
709,3,0.41330882899965216
714,3,0.4157376320004914
719,3,0.4157376320004914
724,3,0.4157376320004914
729,3,0.3893107259997123
734,3,0.3893107259997123
739,3,0.3893107259997123
745,3,0.3950064079996082
750,3,0.3950064079996082
755,3,0.3950064079996082
760,3,0.39122179400019375
765,3,0.39122179400019375
770,3,0.39122179400019375
775,3,0.39925807200015695
780,3,0.39925807200015695
786,3,0.4190801509999801
791,3,0.4190801509999801
796,3,0.4190801509999801
801,3,0.42180134299960625
806,3,0.42180134299960625
811,3,0.42180134299960625
816,3,0.40636162599967063
821,3,0.40636162599967063
827,3,0.40636162599967063
832,3,0.3970291999999972
837,3,0.3970291999999972
842,3,0.3970291999999972
847,3,0.3961121990001629
852,3,0.3961121990001629
