latency,status
0.27005553245544434,200
0.3181877136230469,200
0.3704564571380615,200
0.41809821128845215,200
0.4610004425048828,200
0.5073056221008301,200
0.555199384689331,200
0.60009765625,200
0.6525073051452637,200
0.7031495571136475,200
0.4297196865081787,200
0.42181849479675293,200
0.4175755977630615,200
0.41921138763427734,200
0.41588902473449707,200
0.4146993160247803,200
0.42041492462158203,200
0.40827012062072754,200
0.4087209701538086,200
0.38844847679138184,200
0.3874497413635254,200
0.3924129009246826,200
0.39105939865112305,200
0.3892245292663574,200
0.3930239677429199,200
0.39521336555480957,200
0.3872249126434326,200
0.398845911026001,200
0.38875246047973633,200
0.39950990676879883,200
0.4010002613067627,200
0.39902305603027344,200
0.3984677791595459,200
0.3971114158630371,200
0.39719533920288086,200
0.3989877700805664,200
0.39771366119384766,200
0.40494775772094727,200
0.4106254577636719,200
0.4206409454345703,200
0.28614330291748047,200
0.20169901847839355,200
0.05220746994018555,200
0.06542611122131348,200
0.06872415542602539,200
0.07553863525390625,200
0.12060236930847168,200
0.09514188766479492,200
0.07491111755371094,200
0.09692907333374023,200
0.0678565502166748,200
0.07047462463378906,200
0.06931447982788086,200
0.06394529342651367,200
0.07091903686523438,200
0.05981302261352539,200
0.06904768943786621,200
0.10191226005554199,200
0.15503573417663574,200
0.2044827938079834,200
0.25417256355285645,200
0.2656538486480713,200
0.251422643661499,200
0.3013894557952881,200
0.26705503463745117,200
0.2866644859313965,200
0.29173946380615234,200
0.2919883728027344,200
0.28862524032592773,200
0.23656988143920898,200
0.2631814479827881,200
0.23786425590515137,200
0.22701668739318848,200
0.2257556915283203,200
0.22576522827148438,200
0.22364330291748047,200
0.22113919258117676,200
0.2199690341949463,200
0.222625732421875,200
0.23005938529968262,200
0.25557827949523926,200
0.2633352279663086,200
0.2718226909637451,200
0.2814919948577881,200
0.2854123115539551,200
0.2809183597564697,200
0.2658352851867676,200
0.26673078536987305,200
0.26866626739501953,200
0.263960599899292,200
0.26813793182373047,200
0.3187520503997803,200
0.3185694217681885,200
0.33930468559265137,200
0.3255276679992676,200
0.32300400733947754,200
0.3243842124938965,200
0.31760120391845703,200
0.3363077640533447,200
0.335559606552124,200
0.3130068778991699,200
0.32336854934692383,200
0.32055187225341797,200
0.31868767738342285,200
0.31714558601379395,200
0.2940034866333008,200
0.3417971134185791,200
0.29161977767944336,200
0.29501962661743164,200
0.29451990127563477,200
0.29644012451171875,200
0.3003041744232178,200
0.3018057346343994,200
0.2576563358306885,200
0.30393528938293457,200
0.30335569381713867,200
0.3035867214202881,200
0.30340075492858887,200
0.29738664627075195,200
0.29474496841430664,200
0.29345273971557617,200
0.2970860004425049,200
0.29364585876464844,200
0.28815364837646484,200
0.2818474769592285,200
0.23651909828186035,200
0.23335957527160645,200
0.2239243984222412,200
0.218125581741333,200
0.22022199630737305,200
0.2208232879638672,200
0.2201230525970459,200
0.21630001068115234,200
0.2140035629272461,200
0.21606779098510742,200
0.22460246086120605,200
0.2164008617401123,200
0.2193007469177246,200
0.22911810874938965,200
0.2227771282196045,200
0.22130322456359863,200
0.22156715393066406,200
0.22026968002319336,200
0.21775579452514648,200
0.21375679969787598,200
0.22321701049804688,200
0.23063373565673828,200
0.22464966773986816,200
0.2359163761138916,200
0.25849366188049316,200
0.2813699245452881,200
0.2809305191040039,200
0.28254270553588867,200
0.27487826347351074,200
0.2705662250518799,200
0.26828670501708984,200
0.26915454864501953,200
0.2659616470336914,200
0.26041364669799805,200
0.2593975067138672,200
0.26053357124328613,200
0.2642815113067627,200
0.2666449546813965,200
0.2701911926269531,200
0.2696709632873535,200
0.27048516273498535,200
0.2683439254760742,200
0.272904634475708,200
0.275160551071167,200
0.2757723331451416,200
0.3278355598449707,200
0.2853271961212158,200
0.2961387634277344,200
0.30501866340637207,200
0.3082311153411865,200
0.3040041923522949,200
0.3043789863586426,200
0.24942302703857422,200
0.29349517822265625,200
0.2994213104248047,200
0.2998526096343994,200
0.28611063957214355,200
0.2863147258758545,200
0.28388452529907227,200
0.2834179401397705,200
0.6026668548583984,200
0.3389017581939697,200
0.3398275375366211,200
0.3118433952331543,200
0.3158085346221924,200
0.31212854385375977,200
0.31821131706237793,200
0.31888580322265625,200
0.30413079261779785,200
0.36304378509521484,200
0.3497905731201172,200
0.35245251655578613,200
0.3614633083343506,200
0.3661360740661621,200
0.36211585998535156,200
0.3587484359741211,200
0.34483814239501953,200
0.30762529373168945,200
0.31969666481018066,200
0.32157015800476074,200
0.3225250244140625,200
0.3249375820159912,200
0.32575249671936035,200
0.32892322540283203,200
0.3354630470275879,200
0.4010450839996338,200
0.35849618911743164,200
0.3105645179748535,200
0.31071019172668457,200
0.3105800151824951,200
0.31499457359313965,200
0.3058140277862549,200
0.23754620552062988,200
0.25536131858825684,200
0.30057430267333984,200
0.29861950874328613,200
0.30553126335144043,200
0.2968878746032715,200
0.29798316955566406,200
0.3062777519226074,200
0.28450775146484375,200
0.29494285583496094,200
0.290055513381958,200
0.28179931640625,200
0.2841362953186035,200
0.2859928607940674,200
0.28026700019836426,200
0.27791285514831543,200
0.2806692123413086,200
0.27939534187316895,200
0.2901463508605957,200
0.29204726219177246,200
0.29246997833251953,200
0.2973206043243408,200
0.3136107921600342,200
0.3082160949707031,200
0.3092308044433594,200
0.2972278594970703,200
0.2950866222381592,200
0.29122114181518555,200
0.2828378677368164,200
0.2624166011810303,200
0.2592196464538574,200
0.2554452419281006,200
0.25597333908081055,200
0.28562164306640625,200
0.27494287490844727,200
0.2853095531463623,200
0.2857036590576172,200
0.28733301162719727,200
0.2892451286315918,200
0.2916874885559082,200
0.2671165466308594,200
0.2900505065917969,200
0.2856147289276123,200
0.29309821128845215,200
0.3486652374267578,200
0.31740689277648926,200
0.3249683380126953,200
0.31663990020751953,200
0.30715107917785645,200
0.3054828643798828,200
0.35027122497558594,200
0.2594609260559082,200
0.29796528816223145,200
0.29773592948913574,200
0.2984426021575928,200
0.2982511520385742,200
0.34638428688049316,200
0.29755568504333496,200
0.2884559631347656,200
0.2807469367980957,200
0.3176305294036865,200
0.32834577560424805,200
0.30744338035583496,200
0.2654988765716553,200
0.27112841606140137,200
0.28452444076538086,200
0.29218578338623047,200
0.2468733787536621,200
0.24150609970092773,200
0.27100205421447754,200
0.265408992767334,200
0.2583436965942383,200
0.2897179126739502,200
0.2844064235687256,200
0.2867910861968994,200
0.2910773754119873,200
0.28598976135253906,200
0.28485846519470215,200
0.27945852279663086,200
0.3323500156402588,200
0.3393549919128418,200
0.34534621238708496,200
0.3460655212402344,200
0.3411524295806885,200
0.3668663501739502,200
0.37296533584594727,200
0.40230226516723633,200
0.3987562656402588,200
0.39333605766296387,200
0.38846516609191895,200
0.38794660568237305,200
0.388033390045166,200
0.36591124534606934,200
0.37917518615722656,200
0.3408787250518799,200
0.3515150547027588,200
0.35547351837158203,200
0.3568859100341797,200
0.36278367042541504,200
0.35614490509033203,200
0.3520495891571045,200
0.39011383056640625,200
0.36827611923217773,200
0.3653101921081543,200
0.36441540718078613,200
0.3615989685058594,200
0.36277127265930176,200
0.33849143981933594,200
0.2848520278930664,200
0.26311278343200684,200
0.2870192527770996,200
0.271620512008667,200
0.2648303508758545,200
0.2498314380645752,200
0.24373936653137207,200
0.24422335624694824,200
0.21748900413513184,200
0.258481502532959,200
0.2463364601135254,200
0.24533534049987793,200
0.2600553035736084,200
0.26685452461242676,200
0.26215600967407227,200
0.2382960319519043,200
0.2554929256439209,200
0.2581498622894287,200
0.24845075607299805,200
0.24525165557861328,200
0.2573392391204834,200
0.27414655685424805,200
0.2620699405670166,200
0.26256418228149414,200
0.26403236389160156,200
0.2926638126373291,200
0.34701085090637207,200
0.4001641273498535,200
0.42568492889404297,200
0.4156968593597412,200
0.4036705493927002,200
0.4170987606048584,200
0.4111142158508301,200
0.4094419479370117,200
0.41010475158691406,200
0.40361523628234863,200
